address,entity,tx_received,etherreceived
0xa04fc9bd2be8bcc6875d9ebb964e8f858bcc1b4f,Augur: Wallet,6,1177077.730183515
0x85992bb01c8c64a80656c1df988f313af6b661e9,HadePlatform: Wallet,1099,1541.290672221
0x850468f69fa4fe32816cd7698fd5bd1ece3e1d5c,Gimmer: Wallet,201,2134.252899186
0xfba4d50cab44f13102c0e270721e1cbefebd8922,Airbloc: Wallet 1,321,6396.606
0xe76fe52a251c8f3a5dcd657e47a6c8d16fdf4bfa,Santiment: Wallet 1,155,12212.528541862
0xf5c8b99c64a5584a911d3aae4873b3581d48586e,DATx: Wallet,16,50001.4
0x6dd5a9f47cfbc44c04a0a4452f0ba792ebfbcc9a,Santiment: Wallet 2,45,21375.782046832
0x5a2fad810f990c4535ada938400b6b67ef7646af,Trade.io: Wallet 2,416,17534.917152
0x53f117ca3b93eda96d08c8496af103303c385059,Digitex: Wallet,30,4021.25
0x2149cbdd59b50bef9a264914b441f917dc9c7d55,OneLedger: Wallet,4,10383.590195149
0x6a0afe6f45a878100480f312b585aa0d752d4d2d,Liquid: Gram Token Sale Proceeds,2,0
0x8dcaeebf49a479ed5e5b3b45a38c9125a0ef6d23,Traderly: Wallet,421,1114.7554503
0x58f75ddacffb183a30f69fe58a67a0d0985fce0f,Trade.io: Wallet 1,676,31678.228066206
0x004e6f03648b0b0f529511697b0f36a463a24836,Gron Digital: Wallet,2970,82.271597067
0x9df172fc167a8a567c208fc14e3435eb8043e2b7,Copytrack: Wallet,50,12600.2573791
0x00832a758a781055ac19b5f9bf553db8bb9db32d,Monetha: Wallet,61,95656.608654357
0x95b2eb812ce96cabc6dfd94bfcdae5192e027763,CPChain: Wallet,26,27263.224
0x89add413f34c4858458d658a9f24456551762803,InvestDigital: Wallet,3,616
0x47c8f28e6056374aba3df0854306c2556b104601,Serenity: Wallet,4199,1730.058132232
0x5574754c7cb6618d0079065bfabdc46f31bc7a32,SigmaCoin: Wallet,1182,48330.650561902
0xafa1c92a27215d1d1dad4fa89972e7c8d91218f9,PolySwarm: Wallet,24,8571.09
0x3013d62a7357021259c3ee463ec9fbc64de7ba76,Cofoundit: Wallet,34,20001.261166375
0xf67e754b5be1138882d203f46472c69b985108a7,EnterCoin: Wallet,171,810.6324
0x081edbef6106ab1253557451b261c1c99bade726,Bread: Wallet,37,21459.77049726
0xc78310231aa53bd3d0fea2f8c705c67730929d8f,SingularDTV: Wallet,75,554621.7509
0x562f587bff5a559e3fe671028b3096d8e3bb9107,Lendingblock: Wallet,200,20335.215299439
0x15c19e6c203e2c34d1edfb26626bfc4f65ef96f0,Aeternity: Wallet,36,104749.513625212
0xad54edbe26782a7c190eabc0b35869b0e66ffcce,Tierion: Wallet 2,26,56478.122407919
0xa2c9a7578e2172f32a36c5c0e49d64776f9e7883,Humaniq: Wallet,104,47565.319393909
0x126d407584cf73ba5d15102bab0e578a64cca3f1,Atlant: Wallet 1,10,340.5
0x36be38dab57631aae070b8977daa35d6de1ab8a0,Storm: Wallet 2,4,21024.084410275
0xf821fd99bca2111327b6a411c90be49dcf78ce0f,PayPie: MultiSig,41,59709.778254
0xaf518d65f84e4695a4da0450ec02c1248f56b668,Substratum: Token Sale,33330,28864.143944748
0x01091506ce9f1977a660c5ad4915cbd89e4e1a49,PChain: Wallet,6,2430
0x4b60b53a6edcd75f0730ecc22579df2079f210b0,DMarket: Wallet,151,30102.988582657
0xb0c591788ac5f9638a8aea025019e626f17186df,Rate3: Wallet 1,41,21217.5186
0x274df34325ca19627e5e587c48b7e77dfc4b9cc6,Tokia: Wallet,228,1011.912620809
0x93b7e9364c4df6de55ed0d10c80e7afc0612e93a,Metal: Wallet,91,3197.074673
0xee155572635ae7d1f4e30ec3179ce65b5342cb17,Populous: Wallet 2,145,32661.622117561
0xc869af1617a9032a7c8ee60427027ba23cb9e4f8,Cryptosis: Wallet,40,1.1895
0xfe95e04a628087fcdd5f278e61f148b47471af4a,Decentraland: Wallet,391,34595.636559642
0x36e6dadc5a045a86dbc9ecfeda5c459784d3537f,Atlant: Wallet 2,62,1750.33288277
0x22c6731a21ad946bcd934f62f04b2d06ebfbedc9,Soma: Wallet,429,8015.87120062
0x11e63fa9256c37d100b6786569663b116480f92a,Zebi: Wallet 2,64,14436.22600739
0x606b2272215a0cdd1cf4f38293ffaa42f0f56c34,Storm: Wallet 1,43,16024.085083299
0xdf4d1b71aa4b8bb6814b2e5819844c3093a56349,LTO Network: Wallet,27,7990.026888089
0xb55d31e46428beb28234b62d5178dad5ec8ad8ca,ERC20Connect: Wallet,420,2.641
0x0c4b367e876d18d5c102023d9240dd7e9c11b380,Tierion: Wallet 1,12,95984.738783099
0x19c1f4d2cf1606d1ba3030aef48b96e56bc92a6a,NodePower: Wallet,171,454.618968528
0x7c27f68b0d5afffb668da3e046adfba6ea1f6bc3,Credits: MultiSig,165,11220.622
0xc98f8c6b319ecceccaa9361ed5372274674f96cf,Fusion: Wallet,261,50564.6346
0x537397e3a68584e05e332d2ba75340e37012f50a,BitJob: Wallet,101,6247.219892605
0xc4904676bfee9b5332033e6f7307433635346d21,INCX: Wallet,59,8460.238937
0x0c295c085cae9c6278df49477d29f71d78c5490d,Sparkster: Wallet,45,0
0x2b3b67c6dffc2bcdda2315491eac9bbe868fbcdd,OAX: Wallet,46,25952.714059118
0x1f3df0b8390bb8e9e322972c5e75583e87608ec2,Santiment: Wallet 3,100,2261.330218467
0xf7d58e6720696b8f46dc9270443d8beaeb8d9775,LinkerCoin: Wallet,17,9545.205329301
0xb4e817449b2fcdec82e69f02454b42fe95d4d1fd,Verify.as: Wallet,36,6370.976540302
0xae18c66ac8e11f1218e5b5d25535b935644b8c42,CrowdCoinage: Wallet,9,73.837784324
0x23b61de5076526b3a1026491157c6df731ae8b61,Dether: Wallet,59,14300.066178863
0xca48ba80cfa6cc06963b62aee48000f031c7e2dc,Populous: Wallet 1,22,15309.967821155
0x44fcfabfbe32024a01b778c025d70498382cced0,BAT: Wallet,25,134898.620488322
0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4,Alphabitco: Wallet,47,1.310893955
0x749bd34c771456a8de28aa0883b00d11273e2ede,XferMoney: Wallet,9,130.94241
0xd75496c0a6a36308cfda58e317ab97ea46b8f6b5,Zebi: Wallet 1,5267,10031.630164
0x841991ffe0dafd619bc517d82ee4700c37136140,Rate3: Wallet 2,19,9684.71950545
0x1706024467ef8c9c4648da6fc35f2c995ac79cf6,Hero: Wallet,126,42563.692204279
0x7d5d58560819c172e45b46c0965bbda5a8895f80,Airbloc: Wallet 2,62,11801.796034903
0x6a164122d5cf7c840d26e829b46dcc4ed6c0ae48,CoinDash: Token Sale,3,30488
0x967cd47aa3195cff1248ac123e8a452d84daba1d,ElectrifyAsia: Wallet,131,11000.59
0x3e5dcce17765928400ee4a4b8905e1dd9f42a00f,Savedroid: Wallet,16,68.575094251
0x746aaac06b04c36f5fea9bbb35ca75518eda1cca,Perlin: Token Sale,36,33283.15969
0xdf398e0be9e0da2d8f8d687fd6b2c9082eefc29a,Soma: Liquidity Reserve Wallet,20,4.754913685
0x8c097a9c954894c8779edef955398d6b8ea7226a,HOQU: Wallet,158,25535.54395697
